Date	Time	Temperature
2017-02-19	15:25:53	17.312
2017-02-19	15:25:55	17.187
2017-02-19	15:25:57	17.187
2017-02-19	15:25:59	17.187
2017-02-19	15:26:01	17.187
2017-02-19	15:26:03	17.125
2017-02-19	15:26:05	17.125
2017-02-19	15:26:07	17.0
2017-02-19	15:26:10	16.75
2017-02-19	15:26:12	16.75
2017-02-19	15:26:14	16.562
2017-02-19	15:26:16	16.562
2017-02-19	15:26:18	16.562
2017-02-19	15:26:20	16.5
2017-02-19	15:26:22	16.562
2017-02-19	15:26:24	16.687
2017-02-19	15:26:26	16.875
2017-02-19	15:26:28	17.062
2017-02-19	15:26:31	17.125
2017-02-19	15:26:33	17.25
2017-02-19	15:26:35	17.375
2017-02-19	15:26:37	17.437
2017-02-19	15:26:39	17.5
2017-02-19	15:26:41	17.625
2017-02-19	15:26:43	17.687
2017-02-19	15:26:45	17.75
2017-02-19	15:26:47	17.812
2017-02-19	15:26:50	17.875
2017-02-19	15:26:52	17.875
2017-02-19	15:26:54	17.937
2017-02-19	15:26:56	18.0
2017-02-19	15:26:58	18.0
2017-02-19	15:27:00	18.0
2017-02-19	15:27:02	18.062
2017-02-19	15:27:04	18.062
2017-02-19	15:27:07	18.125
2017-02-19	15:27:09	18.187
2017-02-19	15:27:11	18.187
2017-02-19	15:27:13	18.187
2017-02-19	15:27:15	18.25
2017-02-19	15:27:17	18.312
2017-02-19	15:27:19	18.312
2017-02-19	15:27:21	18.375
2017-02-19	15:27:24	18.375
2017-02-19	15:27:26	18.437
2017-02-19	15:27:28	18.437
2017-02-19	15:27:30	18.437
2017-02-19	15:27:32	18.5
2017-02-19	15:27:34	18.5
2017-02-19	15:27:36	18.562
2017-02-19	15:27:38	18.562
2017-02-19	15:27:40	18.562
2017-02-19	15:27:43	18.562
2017-02-19	15:27:45	18.625
2017-02-19	15:27:47	18.625
2017-02-19	15:27:49	18.687
2017-02-19	15:27:51	18.625
2017-02-19	15:27:53	18.687
2017-02-19	15:27:55	18.687
2017-02-19	15:27:57	18.687
2017-02-19	15:27:59	18.687
2017-02-19	15:28:02	18.75
2017-02-19	15:28:04	18.75
2017-02-19	15:28:06	18.75
2017-02-19	15:28:08	18.75
2017-02-19	15:28:10	18.812
2017-02-19	15:28:12	18.812
2017-02-19	15:28:14	18.812
2017-02-19	15:28:16	18.812
2017-02-19	15:28:18	18.812
2017-02-19	15:28:21	18.812
2017-02-19	15:28:23	18.875
2017-02-19	15:28:25	18.875
2017-02-19	15:28:27	18.875
2017-02-19	15:28:29	18.875
2017-02-19	15:28:31	18.875
2017-02-19	15:28:33	18.875
2017-02-19	15:28:35	18.875
2017-02-19	15:28:37	18.875
2017-02-19	15:28:40	18.875
2017-02-19	15:28:42	18.937
2017-02-19	15:28:44	18.937
2017-02-19	15:28:46	18.937
2017-02-19	15:28:48	18.937
2017-02-19	15:28:50	18.937
2017-02-19	15:28:52	19.0
2017-02-19	15:28:54	19.0
2017-02-19	15:28:56	19.0
2017-02-19	15:28:59	19.0
2017-02-19	15:29:01	19.0
2017-02-19	15:29:03	19.0
2017-02-19	15:29:05	19.0
2017-02-19	15:29:07	19.062
2017-02-19	15:29:09	19.062
2017-02-19	15:29:11	19.062
2017-02-19	15:29:14	19.062
